Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-2.579999999999999516e-01,6.745082974324120295e-01,1.425527985889496030e+00,nan,nan,nan,1.089361293965637512e-04,1.477805431485436632e-04,nan,nan,nan,nan
-2.549999999999999489e-01,6.748246377621295311e-01,1.430472119821016630e+00,nan,nan,nan,1.089641228322864655e-04,1.479675436011911483e-04,nan,nan,nan,nan
-2.519999999999999463e-01,6.750970739000566878e-01,1.434813969658433441e+00,nan,nan,nan,1.089882216120597518e-04,1.481310882492761815e-04,nan,nan,nan,nan
-2.489999999999999436e-01,6.753316992142388564e-01,1.438626904395057027e+00,nan,nan,nan,1.090089687265604322e-04,1.482741920706161091e-04,nan,nan,nan,nan
-2.459999999999999964e-01,6.755337613873187985e-01,1.441975355366297507e+00,nan,nan,nan,1.090268311691595498e-04,1.483994657074966142e-04,nan,nan,nan,nan
-2.429999999999999938e-01,6.757077797873881631e-01,1.444915905016530111e+00,nan,nan,nan,1.090422106484277142e-04,1.485091735260346167e-04,nan,nan,nan,nan
-2.399999999999999911e-01,6.758576465491924479e-01,1.447498243034640364e+00,nan,nan,nan,1.090554527710683373e-04,1.486052824809752746e-04,nan,nan,nan,nan
-2.369999999999999885e-01,6.759867136264938736e-01,1.449766006015138275e+00,nan,nan,nan,1.090668549186885923e-04,1.486895034272181244e-04,nan,nan,nan,nan
-2.339999999999999858e-01,6.760978677626249267e-01,1.451757514833495799e+00,nan,nan,nan,1.090766730079146131e-04,1.487633261882035079e-04,nan,nan,nan,nan
-2.309999999999999831e-01,6.761935950560391539e-01,1.453506422195965930e+00,nan,nan,nan,1.090851272949150500e-04,1.488280494345367241e-04,nan,nan,nan,nan
-2.279999999999999805e-01,6.762760365649505001e-01,1.455042281306223817e+00,nan,nan,nan,1.090924073614614356e-04,1.488848062256391529e-04,nan,nan,nan,nan
-2.249999999999999778e-01,6.763470361947224729e-01,1.456391045258229822e+00,nan,nan,nan,1.090986763994529458e-04,1.489345859093563586e-04,nan,nan,nan,nan
-2.219999999999999751e-01,6.764081819390725947e-01,1.457575505594084442e+00,nan,nan,nan,1.091040748937390284e-04,1.489782529493413187e-04,nan,nan,nan,nan
